"PA107: KESKMINE BRUTOKUUPALK, MEDIAAN JA TÖÖTAJATE ARV | Näitaja, Maakond ning Vaatlusperiood"

"Näitaja","Maakond","2021","2022","2023"
"Keskmine brutokuupalk, eurot","Eesti",1474,1645,1832
"Keskmine brutokuupalk, eurot","Harju maakond",1658,1855,2057
"Keskmine brutokuupalk, eurot","Tallinn",1724,1935,2152
"Keskmine brutokuupalk, eurot","Harju maakond, v.a Tallinn",1441,1588,1738
"Keskmine brutokuupalk, eurot","Hiiu maakond",1154,1259,1398
"Keskmine brutokuupalk, eurot","Ida-Viru maakond",1145,1270,1437
"Keskmine brutokuupalk, eurot","Jõgeva maakond",1164,1284,1425
"Keskmine brutokuupalk, eurot","Järva maakond",1268,1382,1527
"Keskmine brutokuupalk, eurot","Lääne maakond",1182,1299,1420
"Keskmine brutokuupalk, eurot","Lääne-Viru maakond",1194,1310,1458
"Keskmine brutokuupalk, eurot","Põlva maakond",1167,1286,1422
"Keskmine brutokuupalk, eurot","Pärnu maakond",1195,1329,1479
"Keskmine brutokuupalk, eurot","Rapla maakond",1221,1340,1485
"Keskmine brutokuupalk, eurot","Saare maakond",1143,1257,1395
"Keskmine brutokuupalk, eurot","Tartu maakond",1474,1641,1837
"Keskmine brutokuupalk, eurot","Valga maakond",1114,1197,1348
"Keskmine brutokuupalk, eurot","Viljandi maakond",1244,1374,1515
"Keskmine brutokuupalk, eurot","Võru maakond",1160,1277,1423
"Töötajate arv","Eesti",589152,608767,604065
"Töötajate arv","Harju maakond",314886,329108,328547
"Töötajate arv","Tallinn",242841,254714,254498
"Töötajate arv","Harju maakond, v.a Tallinn",72046,74394,74049
"Töötajate arv","Hiiu maakond",2937,2965,2894
"Töötajate arv","Ida-Viru maakond",43758,44258,43290
"Töötajate arv","Jõgeva maakond",9261,9100,8822
"Töötajate arv","Järva maakond",11158,11217,11021
"Töötajate arv","Lääne maakond",7298,7355,7193
"Töötajate arv","Lääne-Viru maakond",21832,21927,21385
"Töötajate arv","Põlva maakond",7363,7385,7148
"Töötajate arv","Pärnu maakond",32400,33344,33314
"Töötajate arv","Rapla maakond",10523,10704,10431
"Töötajate arv","Saare maakond",11520,11781,11544
"Töötajate arv","Tartu maakond",77854,80798,80781
"Töötajate arv","Valga maakond",8598,8697,8263
"Töötajate arv","Viljandi maakond",17768,17992,17541
"Töötajate arv","Võru maakond",11998,12139,11894
"Brutokuupalga mediaan (V detsiil), eurot","Eesti",1200,1340,1501
"Brutokuupalga mediaan (V detsiil), eurot","Harju maakond",1340,1500,1685
"Brutokuupalga mediaan (V detsiil), eurot","Tallinn",1378,1543,1749
"Brutokuupalga mediaan (V detsiil), eurot","Harju maakond, v.a Tallinn",1235,1359,1495
"Brutokuupalga mediaan (V detsiil), eurot","Hiiu maakond",1005,1128,1253
"Brutokuupalga mediaan (V detsiil), eurot","Ida-Viru maakond",932,1037,1181
"Brutokuupalga mediaan (V detsiil), eurot","Jõgeva maakond",1000,1125,1250
"Brutokuupalga mediaan (V detsiil), eurot","Järva maakond",1099,1202,1341
"Brutokuupalga mediaan (V detsiil), eurot","Lääne maakond",1048,1163,1258
"Brutokuupalga mediaan (V detsiil), eurot","Lääne-Viru maakond",1029,1143,1265
"Brutokuupalga mediaan (V detsiil), eurot","Põlva maakond",1016,1128,1241
"Brutokuupalga mediaan (V detsiil), eurot","Pärnu maakond",1018,1144,1263
"Brutokuupalga mediaan (V detsiil), eurot","Rapla maakond",1069,1174,1300
"Brutokuupalga mediaan (V detsiil), eurot","Saare maakond",1000,1098,1204
"Brutokuupalga mediaan (V detsiil), eurot","Tartu maakond",1234,1379,1557
"Brutokuupalga mediaan (V detsiil), eurot","Valga maakond",954,1038,1173
"Brutokuupalga mediaan (V detsiil), eurot","Viljandi maakond",1100,1211,1329
"Brutokuupalga mediaan (V detsiil), eurot","Võru maakond",991,1098,1213
"Keskmise brutokuupalga muutus võrreldes eelmise aasta sama perioodiga, %","Eesti",..,11.6,11.3
"Keskmise brutokuupalga muutus võrreldes eelmise aasta sama perioodiga, %","Harju maakond",..,11.9,10.9
"Keskmise brutokuupalga muutus võrreldes eelmise aasta sama perioodiga, %","Tallinn",..,12.3,11.2
"Keskmise brutokuupalga muutus võrreldes eelmise aasta sama perioodiga, %","Harju maakond, v.a Tallinn",..,10.2,9.5
"Keskmise brutokuupalga muutus võrreldes eelmise aasta sama perioodiga, %","Hiiu maakond",..,9.1,11.0
"Keskmise brutokuupalga muutus võrreldes eelmise aasta sama perioodiga, %","Ida-Viru maakond",..,10.9,13.1
"Keskmise brutokuupalga muutus võrreldes eelmise aasta sama perioodiga, %","Jõgeva maakond",..,10.3,11.0
"Keskmise brutokuupalga muutus võrreldes eelmise aasta sama perioodiga, %","Järva maakond",..,9.0,10.5
"Keskmise brutokuupalga muutus võrreldes eelmise aasta sama perioodiga, %","Lääne maakond",..,9.8,9.3
"Keskmise brutokuupalga muutus võrreldes eelmise aasta sama perioodiga, %","Lääne-Viru maakond",..,9.7,11.3
"Keskmise brutokuupalga muutus võrreldes eelmise aasta sama perioodiga, %","Põlva maakond",..,10.2,10.6
"Keskmise brutokuupalga muutus võrreldes eelmise aasta sama perioodiga, %","Pärnu maakond",..,11.2,11.3
"Keskmise brutokuupalga muutus võrreldes eelmise aasta sama perioodiga, %","Rapla maakond",..,9.7,10.8
"Keskmise brutokuupalga muutus võrreldes eelmise aasta sama perioodiga, %","Saare maakond",..,10.0,10.9
"Keskmise brutokuupalga muutus võrreldes eelmise aasta sama perioodiga, %","Tartu maakond",..,11.3,12.0
"Keskmise brutokuupalga muutus võrreldes eelmise aasta sama perioodiga, %","Valga maakond",..,7.5,12.6
"Keskmise brutokuupalga muutus võrreldes eelmise aasta sama perioodiga, %","Viljandi maakond",..,10.5,10.3
"Keskmise brutokuupalga muutus võrreldes eelmise aasta sama perioodiga, %","Võru maakond",..,10.2,11.4
